trial_number,value,state,best_iter,duration_minutes,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,976160000.0,COMPLETE,,,886,0.08932972572031203,1656,0.9457252183217646,1.0,10000,50
1,974880000.0,COMPLETE,,,1115,0.038996130899874346,1933,0.5080058993654966,1.0,10000,50
2,977120000.0,COMPLETE,,,245,0.04793416224934922,222,0.3882695936551456,1.0,10000,50
3,963040000.0,COMPLETE,,,519,0.01756995241359436,1492,0.03284652185929517,1.0,10000,50
4,977600000.0,COMPLETE,,,858,0.03152878798754794,679,0.6558445246041329,1.0,10000,50
5,975680000.0,COMPLETE,,,1370,0.010756389596893607,219,0.829188499163225,1.0,10000,50
6,975680000.0,COMPLETE,,,1284,0.08282784606976941,1710,0.925691871754413,1.0,10000,50
7,978240000.0,COMPLETE,,,863,0.042979484619967825,244,0.30609832964077427,1.0,10000,50
8,975200000.0,COMPLETE,,,1223,0.0479809037272532,1467,0.678150768680835,1.0,10000,50
9,975840000.0,COMPLETE,,,1361,0.07690555351128862,1621,0.5817892959018113,1.0,10000,50
10,975680000.0,COMPLETE,,,191,0.03011871152582727,1487,0.369618318706784,1.0,10000,50
11,976640000.0,COMPLETE,,,633,0.0359091648315428,1185,0.8471845645487078,1.0,10000,50
12,976800000.0,COMPLETE,,,1047,0.05341163214423581,908,0.5704086350023042,1.0,10000,50
13,976800000.0,COMPLETE,,,476,0.054718430658644554,918,0.2383079073876513,1.0,10000,50
14,976480000.0,COMPLETE,,,413,0.09840445934702795,81,0.6160189072946111,1.0,10000,50
15,975040000.0,COMPLETE,,,1267,0.08779813272089501,1677,0.15119430892941155,1.0,10000,50
16,977760000.0,COMPLETE,,,1422,0.06536245450668669,450,0.9683347473144122,1.0,10000,50
17,973920000.0,COMPLETE,,,438,0.017718266919774833,1097,0.5089692350623766,1.0,10000,50
18,977120000.0,COMPLETE,,,1067,0.07171385181079103,761,0.710312346729779,1.0,10000,50
19,969120000.0,COMPLETE,,,513,0.001676661800864441,28,0.09269054764055623,1.0,10000,50
20,977920000.0,COMPLETE,,,668,0.06869067608982612,465,0.3495892044690806,1.0,10000,50
21,977600000.0,COMPLETE,,,722,0.06578487118313968,425,0.2968858189195045,1.0,10000,50
22,977120000.0,COMPLETE,,,1499,0.06068742438133717,543,0.3820800788704297,1.0,10000,50
23,977920000.0,COMPLETE,,,933,0.06714355894412878,381,0.22525611415344096,1.0,10000,50
24,977920000.0,COMPLETE,,,919,0.07280909678078684,293,0.23363791015562824,1.0,10000,50
25,977600000.0,COMPLETE,,,722,0.04359857764367769,636,0.2966823528886106,1.0,10000,50
26,978080000.0,COMPLETE,,,941,0.0632304186540165,425,0.17865255611906286,1.0,10000,50
27,976000000.0,COMPLETE,,,755,0.07837477523532713,805,0.14377606397805875,1.0,10000,50
28,976960000.0,COMPLETE,,,632,0.05857734448043485,147,0.42786137142372604,1.0,10000,50
29,977760000.0,COMPLETE,,,984,0.09551929882615601,556,0.3033210047838153,1.0,10000,50
30,953440000.0,COMPLETE,,,854,0.025156734843460343,335,0.019983786837918238,1.0,10000,50
31,977280000.0,COMPLETE,,,949,0.06638170035987807,364,0.20712226440142265,1.0,10000,50
32,977440000.0,COMPLETE,,,1157,0.041097761725214135,501,0.46097240873665085,1.0,10000,50
33,974400000.0,COMPLETE,,,815,0.06058021656920834,1,0.16944756782897136,1.0,10000,50
34,977760000.0,COMPLETE,,,673,0.05066332855818845,220,0.09255002863424111,1.0,10000,50
35,976960000.0,COMPLETE,,,354,0.07019267104685746,656,0.32367387812861503,1.0,10000,50
36,977760000.0,COMPLETE,,,1005,0.08438174704615849,143,0.2522200659895874,1.0,10000,50
37,977600000.0,COMPLETE,,,587,0.04522028021879371,277,0.09326618955388856,1.0,10000,50
38,977760000.0,COMPLETE,,,906,0.05715234584006467,387,0.35472053387852553,1.0,10000,50
39,975680000.0,COMPLETE,,,1128,0.06360987139228434,1989,0.4475760193283048,1.0,10000,50
40,977920000.0,COMPLETE,,,784,0.07699642402343873,751,0.20166329918400078,1.0,10000,50
41,977280000.0,COMPLETE,,,935,0.07261142983838137,297,0.2458615387166917,1.0,10000,50
42,977280000.0,COMPLETE,,,863,0.07061719754022701,193,0.266948049456089,1.0,10000,50
43,977280000.0,COMPLETE,,,1051,0.08036580730510832,610,0.17838039819904503,1.0,10000,50
44,976800000.0,COMPLETE,,,1186,0.04983337732050893,466,0.11713390835457216,1.0,10000,50
45,976640000.0,COMPLETE,,,883,0.03815412185432977,290,0.41045825809053577,1.0,10000,50
46,976640000.0,COMPLETE,,,812,0.08952921130935974,104,0.3437223646709848,1.0,10000,50
47,976320000.0,COMPLETE,,,573,0.07415391637557217,394,0.04300458294548237,1.0,10000,50
48,975520000.0,COMPLETE,,,997,0.05443686907928993,1199,0.530247189817251,1.0,10000,50
49,977280000.0,COMPLETE,,,1077,0.032524738223380034,242,0.22830200214003163,1.0,10000,50
