trial_number,value,state,best_iter,duration_minutes,auc,auc_std,gain,gain_std,logloss,logloss_std,num_leaves,max_depth,learning_rate,min_data_in_leaf,min_gain_to_split,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,995360000.0,COMPLETE,,,0.9291094167691085,0.003871929924042561,995360000.0,7494424.594323436,0.18316038825227726,0.004396988571653375,678,11,0.16710845024649432,1896,4,0.6918996510094664,0.9830450582080218,10000,50
1,1002560000.0,COMPLETE,,,0.9345670781952402,0.004175817571826528,1002560000.0,7373899.917953864,0.1767252751322767,0.004897587730653981,609,4,0.05015072998314935,310,2,0.6497191585003891,0.5836866283514867,10000,50
2,995200000.0,COMPLETE,,,0.9311509784857236,0.004378053614388557,995200000.0,9797958.971132712,0.18067751472717233,0.004970526638597796,898,3,0.06303645960824951,686,2,0.8261841033354207,0.953413265000441,10000,50
3,991680000.0,COMPLETE,,,0.9285108990580022,0.004113836390739474,991680000.0,7699974.0259302175,0.183743277053389,0.004554483839013036,127,4,0.16682586198262803,1707,4,0.9273335204554022,0.9624706423002086,10000,50
4,1000160000.0,COMPLETE,,,0.9329580712115835,0.004308462222739148,1000160000.0,9210776.297359522,0.1788588478799406,0.00468482481755409,658,7,0.015139614744090618,668,4,0.7372772915517838,0.8666313794985749,10000,50
5,998560000.0,COMPLETE,,,0.9300740730432736,0.004258501654835525,998560000.0,9155020.480588779,0.18210460378713217,0.0046686928778164865,813,12,0.13568832748576498,1640,3,0.5325317201918986,0.6470641996253903,10000,50
6,999360000.0,COMPLETE,,,0.9329552284509777,0.004202325588779584,999360000.0,8273717.423262653,0.17872746547048654,0.004738683424365321,895,6,0.036496447807017406,770,3,0.9228204871458121,0.8379788162338468,10000,50
7,1000160000.0,COMPLETE,,,0.9333700155001582,0.0044424128979638185,1000160000.0,8842081.202974783,0.17797292635436918,0.0049517810984290415,640,7,0.06857298209875089,610,3,0.7294325940390014,0.6153070239331573,10000,50
8,992640000.0,COMPLETE,,,0.928641342184744,0.004206644685690978,992640000.0,8914168.497397836,0.1843898246525461,0.004399853502197543,276,12,0.011466533610327087,1263,4,0.9383744076812879,0.9190632962118757,10000,50
9,996800000.0,COMPLETE,,,0.9321711194806188,0.004108528327077981,996800000.0,8690224.392960172,0.17974622194822426,0.004463313553546003,179,12,0.09126718214729405,527,5,0.6208498352313809,0.5844356915140143,10000,50
