trial_number,value,state,best_iter,duration_minutes,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,977600000.0,COMPLETE,,,655,0.05608880457173438,181,0.15662085177581705,1.0,10000,50
1,976800000.0,COMPLETE,,,1299,0.03532506258820721,874,0.07839034028305687,1.0,10000,50
2,977920000.0,COMPLETE,,,1086,0.04094149002850117,321,0.5751025388613168,1.0,10000,50
3,976640000.0,COMPLETE,,,980,0.029547346530335465,1073,0.7786597730056798,1.0,10000,50
4,976320000.0,COMPLETE,,,1040,0.005000028817571848,990,0.85808861025999,1.0,10000,50
5,974880000.0,COMPLETE,,,451,0.04738654833108275,1268,0.9445071437322438,1.0,10000,50
6,976320000.0,COMPLETE,,,302,0.052014508840948305,1976,0.6736585031212925,1.0,10000,50
7,975520000.0,COMPLETE,,,812,0.08249677479202018,76,0.18571452805916552,1.0,10000,50
8,976000000.0,COMPLETE,,,551,0.08632902176247934,1816,0.2905028167524644,1.0,10000,50
9,975840000.0,COMPLETE,,,558,0.04640306868625709,1261,0.739870041585572,1.0,10000,50
10,972000000.0,COMPLETE,,,1084,0.014709285532066275,1157,0.10477149982810084,1.0,10000,50
11,976320000.0,COMPLETE,,,372,0.0815809039671179,1034,0.4658376746795332,1.0,10000,50
12,975840000.0,COMPLETE,,,1305,0.02608189864377073,1645,0.9648684674979405,1.0,10000,50
13,976800000.0,COMPLETE,,,1363,0.03665866641028125,289,0.3496109225331495,1.0,10000,50
14,976320000.0,COMPLETE,,,184,0.09819716053235364,833,0.2672223141160609,1.0,10000,50
15,978080000.0,COMPLETE,,,981,0.04007656628092836,753,0.11034939838544935,1.0,10000,50
16,973120000.0,COMPLETE,,,1248,0.024901888285841733,1936,0.6158942061827035,1.0,10000,50
17,974880000.0,COMPLETE,,,1485,0.09629044855605341,1502,0.46136611550072365,1.0,10000,50
18,973920000.0,COMPLETE,,,595,0.030672476711198285,1091,0.32256314450529544,1.0,10000,50
19,976000000.0,COMPLETE,,,917,0.01024606967699847,286,0.4746160710341785,1.0,10000,50
20,973440000.0,COMPLETE,,,866,0.05109449908935011,1859,0.03515781362504332,1.0,10000,50
21,972640000.0,COMPLETE,,,1179,0.023165676655603276,1916,0.8963630865359443,1.0,10000,50
22,975360000.0,COMPLETE,,,992,0.014813313250585264,1023,0.3866785534904675,1.0,10000,50
23,976160000.0,COMPLETE,,,816,0.019860100109803276,1176,0.9867169485584422,1.0,10000,50
24,977920000.0,COMPLETE,,,1010,0.060079229410720844,278,0.6124092076005824,1.0,10000,50
25,974400000.0,COMPLETE,,,147,0.004938922551888898,155,0.5391614841262213,1.0,10000,50
26,977120000.0,COMPLETE,,,589,0.09957588890622626,848,0.18442298314302696,1.0,10000,50
27,977760000.0,COMPLETE,,,1173,0.0387681038497639,468,0.8128966418778374,1.0,10000,50
28,975840000.0,COMPLETE,,,1166,0.051513969941845233,1312,0.18863121949235512,1.0,10000,50
29,977280000.0,COMPLETE,,,1451,0.06158129971166025,747,0.14819667102089623,1.0,10000,50
30,976480000.0,COMPLETE,,,1478,0.03881660388108255,649,0.1455546936195797,1.0,10000,50
31,975200000.0,COMPLETE,,,1127,0.06211997016241651,760,0.022267160805155825,1.0,10000,50
32,975520000.0,COMPLETE,,,698,0.0644031860052028,721,0.01870282342704757,1.0,10000,50
33,969440000.0,COMPLETE,,,1454,0.06103507918522896,705,0.01976161229066492,1.0,10000,50
34,976800000.0,COMPLETE,,,702,0.06565713098622036,587,0.18510428724812655,1.0,10000,50
35,961120000.0,COMPLETE,,,695,0.0646068705238323,540,0.01014782830084926,1.0,10000,50
36,977920000.0,COMPLETE,,,707,0.06340109294639296,574,0.1223295959959908,1.0,10000,50
37,977120000.0,COMPLETE,,,1082,0.0696430939016611,577,0.5666833653290244,1.0,10000,50
38,977440000.0,COMPLETE,,,1069,0.06927757220154515,527,0.5597013613080242,1.0,10000,50
39,977600000.0,COMPLETE,,,1100,0.07300172803216953,493,0.531395160177621,1.0,10000,50
40,977120000.0,COMPLETE,,,1077,0.04012520619300577,396,0.5511316875776431,1.0,10000,50
41,977440000.0,COMPLETE,,,1070,0.07253624533681385,442,0.5667884080754554,1.0,10000,50
42,977440000.0,COMPLETE,,,1028,0.042211306107779005,410,0.64088230740928,1.0,10000,50
43,976640000.0,COMPLETE,,,1051,0.04053703592850568,395,0.8623680122504588,1.0,10000,50
44,977280000.0,COMPLETE,,,1028,0.042386407585025876,421,0.8621360648249301,1.0,10000,50
45,976480000.0,COMPLETE,,,994,0.043364371776582554,374,0.8501891765558056,1.0,10000,50
46,976640000.0,COMPLETE,,,996,0.042342376617421455,423,0.8329006760050293,1.0,10000,50
47,977280000.0,COMPLETE,,,974,0.04257068433078874,397,0.6649434489729602,1.0,10000,50
48,977440000.0,COMPLETE,,,966,0.04562288212259868,369,0.6556578811827192,1.0,10000,50
49,977600000.0,COMPLETE,,,971,0.04401751924741675,316,0.6768352493914668,1.0,10000,50
