trial_number,value,state,best_iter,duration_minutes,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,981440000.0,COMPLETE,,,955,0.08209716047782198,559,0.8029853474761445,1.0,10000,50
1,981120000.0,COMPLETE,,,761,0.056318120538865354,616,0.8558251032131065,1.0,10000,50
2,980640000.0,COMPLETE,,,231,0.05359486105773121,4975,0.2703798409443489,1.0,10000,50
3,973600000.0,COMPLETE,,,392,0.009936550175734575,1845,0.5749068239638165,1.0,10000,50
4,981280000.0,COMPLETE,,,857,0.034942284732296894,1236,0.7636061262186058,1.0,10000,50
5,980800000.0,COMPLETE,,,800,0.027856579525233998,1422,0.49163581413402285,1.0,10000,50
6,981440000.0,COMPLETE,,,958,0.0722613815130782,2085,0.8982324700821811,1.0,10000,50
7,976800000.0,COMPLETE,,,722,0.09734896590508674,2311,0.04451394733789946,1.0,10000,50
8,980480000.0,COMPLETE,,,748,0.064933629505444,1176,0.408789456998714,1.0,10000,50
9,981440000.0,COMPLETE,,,134,0.08777624718368227,2904,0.90021342772314,1.0,10000,50
10,980480000.0,COMPLETE,,,644,0.06060773591281495,4681,0.23528912897897256,1.0,10000,50
11,981440000.0,COMPLETE,,,149,0.06583363771914874,4770,0.8003395012002217,1.0,10000,50
12,980800000.0,COMPLETE,,,332,0.04387080901258808,3757,0.42185303278867786,1.0,10000,50
13,980800000.0,COMPLETE,,,255,0.04866056662462487,3103,0.4035447714208022,1.0,10000,50
14,981280000.0,COMPLETE,,,779,0.050958631857076366,3121,0.7620013059507499,1.0,10000,50
15,966720000.0,COMPLETE,,,913,0.01645823826460017,1473,0.2898102180174522,1.0,10000,50
16,939040000.0,COMPLETE,,,837,0.07742861347166301,4667,0.03703264453945067,1.0,10000,50
17,981440000.0,COMPLETE,,,454,0.07704217581058209,4858,0.883689724184754,1.0,10000,50
18,980800000.0,COMPLETE,,,251,0.05338377347322698,1016,0.5313698893888112,1.0,10000,50
19,980800000.0,COMPLETE,,,899,0.043989315339146066,3856,0.7271527112820658,1.0,10000,50
20,981120000.0,COMPLETE,,,640,0.06700370568709481,3207,0.7653941417813886,1.0,10000,50
21,980960000.0,COMPLETE,,,492,0.023586025852090967,3846,0.5068974964027297,1.0,10000,50
22,975680000.0,COMPLETE,,,112,0.01651550059091963,581,0.16924744741993827,1.0,10000,50
23,981440000.0,COMPLETE,,,424,0.09031808674714156,3958,0.8749688886331817,1.0,10000,50
24,981280000.0,COMPLETE,,,286,0.04325531343592452,3877,0.8257288502797768,1.0,10000,50
25,980960000.0,COMPLETE,,,882,0.08440682985479132,1301,0.7125769682344429,1.0,10000,50
26,961120000.0,COMPLETE,,,744,0.016827031766090454,800,0.2209285710648506,1.0,10000,50
27,978880000.0,COMPLETE,,,646,0.016367395620453074,3228,0.20746077469351865,1.0,10000,50
28,980960000.0,COMPLETE,,,397,0.04819679430208323,2084,0.5651524835179962,1.0,10000,50
29,981440000.0,COMPLETE,,,994,0.07849646785711932,220,0.998211300123986,1.0,10000,50
30,981440000.0,COMPLETE,,,98,0.0826503059662374,226,0.948437251536181,1.0,10000,50
31,981280000.0,COMPLETE,,,83,0.08411468049799453,109,0.9725624027060168,1.0,10000,50
32,981440000.0,COMPLETE,,,999,0.08088559279460768,2328,0.9914012201236952,1.0,10000,50
33,981440000.0,COMPLETE,,,975,0.07657502234624675,155,0.9988863166019641,1.0,10000,50
34,981280000.0,COMPLETE,,,982,0.07393667260650463,2383,0.9876453193162938,1.0,10000,50
35,981120000.0,COMPLETE,,,981,0.09914938372095317,1868,0.6491005665433024,1.0,10000,50
36,980960000.0,COMPLETE,,,962,0.09987176059257988,2732,0.6518361763069315,1.0,10000,50
37,981600000.0,COMPLETE,,,971,0.07063813585712198,2663,0.9132881827472923,1.0,10000,50
38,981280000.0,COMPLETE,,,981,0.07226781816300752,1941,0.645691078792234,1.0,10000,50
39,980800000.0,COMPLETE,,,594,0.09888260837760308,1909,0.6406050461497731,1.0,10000,50
40,981120000.0,COMPLETE,,,166,0.0710554717791276,2748,0.8359650868338833,1.0,10000,50
41,981280000.0,COMPLETE,,,180,0.06904072566510748,2681,0.6456802343630428,1.0,10000,50
42,981440000.0,COMPLETE,,,148,0.06918109314662951,1820,0.901165926487361,1.0,10000,50
43,981280000.0,COMPLETE,,,166,0.06987996799418689,4417,0.8334635022712397,1.0,10000,50
44,981280000.0,COMPLETE,,,144,0.0694305759698857,580,0.8304899817285931,1.0,10000,50
45,981440000.0,COMPLETE,,,673,0.09122394752529019,2774,0.8824855822459319,1.0,10000,50
46,981120000.0,COMPLETE,,,583,0.08886675425953083,1701,0.9065817108544638,1.0,10000,50
47,981440000.0,COMPLETE,,,680,0.092851026719309,1614,0.9221181192059034,1.0,10000,50
48,981600000.0,COMPLETE,,,817,0.08805931305992284,1599,0.9202924353132987,1.0,10000,50
49,981440000.0,COMPLETE,,,839,0.08940479414135898,2702,0.9154589732004922,1.0,10000,50
