trial_number,value,state,best_iter,duration_minutes,auc,auc_std,gain,gain_std,logloss,logloss_std,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,1120908032.0,COMPLETE,,,0.9963007814205118,0.00043542649290767744,1120908032.0,2006860.375,0.04120025524307366,0.002347557450722821,886,0.06087499007849113,1656,0.9457252183217646,1.0,10000,50
1,1097563904.0,COMPLETE,,,0.9896670494172126,0.0014602407690627462,1097563904.0,4429194.5,0.3010891926388556,0.00044110874500956457,1115,0.005855966775502128,1933,0.5080058993654966,1.0,10000,50
2,1100156032.0,COMPLETE,,,0.9905585399528409,0.00164999658197326,1100156032.0,3484476.75,0.14113685880094864,0.0014248282901784383,245,0.00887492913423665,222,0.3882695936551456,1.0,10000,50
3,1041875968.0,COMPLETE,,,0.9628933636724131,0.003207670023964775,1041875968.0,7299590.5,0.3282327518357163,4.1605750872741594e-05,519,0.002161456568497592,1492,0.03284652185929517,1.0,10000,50
4,1115139968.0,COMPLETE,,,0.9942994263632219,0.0011156177018077152,1115139968.0,4161034.0,0.3250653920363109,9.916787458739526e-05,858,0.004137549396402493,679,0.6558445246041329,1.0,10000,50
5,1112128128.0,COMPLETE,,,0.9939327114235276,0.0009674118015491648,1112128128.0,3767979.0,0.2395640024251929,0.0008434476283403973,1370,0.001574340905611142,219,0.829188499163225,1.0,10000,50
6,1121691904.0,COMPLETE,,,0.9963202867914264,0.00045232487818049576,1121691904.0,2197445.75,0.04103503851319,0.0023632930929314505,1284,0.044987079408382466,1710,0.925691871754413,1.0,10000,50
7,1094195968.0,COMPLETE,,,0.9881157827666568,0.0017707053706991261,1094195968.0,3392127.5,0.16084596498664477,0.001450914190937488,863,0.007048073044730485,244,0.30609832964077427,1.0,10000,50
8,1110236032.0,COMPLETE,,,0.9926867753273745,0.0013069149098129415,1110236032.0,4083298.75,0.1602089685198372,0.001418112969310224,1223,0.008894246595296708,1467,0.678150768680835,1.0,10000,50
9,1121291904.0,COMPLETE,,,0.9961846475489748,0.0005174411391116874,1121291904.0,1939457.25,0.04215027436703315,0.002284322242809251,1361,0.03415431074901954,1621,0.5817892959018113,1.0,10000,50
10,1096231936.0,COMPLETE,,,0.9887140161893733,0.0013859066628822835,1096231936.0,3664858.0,0.3148467841763233,0.0001930831542203259,191,0.003874866982355658,1487,0.369618318706784,1.0,10000,50
11,1119596032.0,COMPLETE,,,0.9958144918940229,0.000621320542840151,1119596032.0,2835749.75,0.048285533443799704,0.002320852363935136,633,0.005072658818920716,1185,0.8471845645487078,1.0,10000,50
12,1104908032.0,COMPLETE,,,0.9917251538581207,0.0015800066189181746,1104908032.0,4852287.0,0.24661786448885276,0.0008720476953835482,1047,0.011450405091925867,908,0.5704086350023042,1.0,10000,50
