experiment_name,seed,training_time,hyperparameters,moving_average_rev,mean_over_best_gain
zero_shot_baseline,62325,179.97189474105835,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 62325, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",344606876.5617192,343590000.0
zero_shot_baseline,6525235,243.88954520225525,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 6525235, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",342136111.9440279,341602400.0
zero_shot_baseline,14,241.3512909412384,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 14, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",344017451.2743628,343719600.0
zero_shot_baseline,4521,180.24574899673462,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 4521, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",343247276.3618191,342499200.0
zero_shot_baseline,474574,244.15902519226074,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 474574, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",344014272.8635682,343311600.0
zero_shot_baseline,74543,183.4035518169403,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 74543, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",343954552.7236382,342661200.0
zero_shot_baseline,32462,243.6190037727356,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 32462, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",343153163.41829085,342334400.0
zero_shot_baseline,12455,241.5274121761322,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 12455, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",343367106.4467766,342973200.0
zero_shot_baseline,5124,243.51272106170654,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 5124, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",341941769.1154423,341870000.0
zero_shot_baseline,55678,243.03054904937744,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 55678, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",343089865.06746626,342656000.0
