trial_number,value,state,best_iter,duration_minutes,auc,auc_std,gain,gain_std,logloss,logloss_std,num_leaves,max_depth,learning_rate,min_data_in_leaf,min_gain_to_split,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,557120000.0,COMPLETE,,,0.9242685649651298,0.005832219579979741,557120000.0,2560000.0,0.19704315898572672,0.005186001724105608,678,11,0.16710845024649432,1896,4,0.6918996510094664,0.9830450582080218,10000,50
1,559680000.0,COMPLETE,,,0.9273197632771334,0.005789340925465593,559680000.0,3704267.808892872,0.19389179278810612,0.004692146234248208,609,4,0.05015072998314935,310,2,0.6497191585003891,0.5836866283514867,10000,50
2,557760000.0,COMPLETE,,,0.9166045812971431,0.006669950265621497,557760000.0,4245279.731654912,0.21115678735669693,0.004129967522004302,898,3,0.06303645960824951,686,2,0.8261841033354207,0.953413265000441,10000,50
3,557920000.0,COMPLETE,,,0.923906193664876,0.005379188552451845,557920000.0,3563369.192211214,0.19693877335478788,0.004721424429362805,127,4,0.16682586198262803,1707,4,0.9273335204554022,0.9624706423002086,10000,50
4,555520000.0,COMPLETE,,,0.899635060174831,0.005009681401369064,555520000.0,2061455.7962760201,0.3239648245997785,0.0004474196469212648,658,7,0.015139614744090618,668,4,0.7372772915517838,0.8666313794985749,10000,50
5,557760000.0,COMPLETE,,,0.919538807081899,0.005500821679744022,557760000.0,4153841.595439094,0.20481034705132178,0.0038525799739158127,813,12,0.13568832748576498,1640,3,0.5325317201918986,0.6470641996253903,10000,50
6,558720000.0,COMPLETE,,,0.9272397204303326,0.005663337700924521,558720000.0,3738662.8625753354,0.19328282166462415,0.004887460149905773,895,6,0.036496447807017406,770,3,0.9228204871458121,0.8379788162338468,10000,50
7,559200000.0,COMPLETE,,,0.9287061578957883,0.005988533038603626,559200000.0,3683476.6186308283,0.19112553234820312,0.0050965079398500165,640,7,0.06857298209875089,610,3,0.7294325940390014,0.6153070239331573,10000,50
8,554880000.0,COMPLETE,,,0.8971223768939304,0.0053937919247859225,554880000.0,1483778.9592793125,0.2941003355856928,0.0011001524531644433,276,12,0.011466533610327087,1263,4,0.9383744076812879,0.9190632962118757,10000,50
9,558880000.0,COMPLETE,,,0.9264135306087308,0.006285572681515634,558880000.0,3704267.808892872,0.19445159989181868,0.005047824496469463,179,12,0.09126718214729405,527,5,0.6208498352313809,0.5844356915140143,10000,50
10,558080000.0,COMPLETE,,,0.9244085590860618,0.005629972014426465,558080000.0,2888875.2136428463,0.19621072982495322,0.004620930689457422,662,8,0.10465088584618869,1457,2,0.8536931044089793,0.6476450212216447,10000,50
11,558080000.0,COMPLETE,,,0.9175098436339109,0.006509215074273641,558080000.0,4708460.470259892,0.20957495436822215,0.004218187619288672,18,3,0.013285495080355049,558,0,0.6416467531896882,0.6332914204170585,10000,50
12,557600000.0,COMPLETE,,,0.9249544372219216,0.0052786001242312065,557600000.0,3919183.588453085,0.19523820987358778,0.004822788477442603,897,5,0.23309776162919724,1519,2,0.6961697662306001,0.9466454342385522,10000,50
13,559360000.0,COMPLETE,,,0.9305586922212697,0.005728021555585822,559360000.0,2648471.2571594957,0.18960777899929293,0.004929799611486884,247,10,0.03170555638783676,432,1,0.6909421311346057,0.5850979924843762,10000,50
14,558560000.0,COMPLETE,,,0.9263212729990002,0.005463174733042627,558560000.0,3052605.444534226,0.19417195145171065,0.004739856268319086,301,6,0.056821605758264275,1465,0,0.6485900849234412,0.8455802388323916,10000,50
15,559840000.0,COMPLETE,,,0.930197386383203,0.005525608930064063,559840000.0,2599692.289483507,0.18987476854582566,0.004746524034055219,735,7,0.042019592972960915,279,0,0.8472946181739316,0.9784617118119897,10000,50
16,555520000.0,COMPLETE,,,0.8963791409140333,0.0045460364365086815,555520000.0,2457966.6393179544,0.32435417936601335,0.0004945632212908865,403,10,0.016266475244208368,1273,4,0.5187726912941,0.8339920705937933,10000,50
17,559040000.0,COMPLETE,,,0.925407486964736,0.005471604915978426,559040000.0,3799789.4678521333,0.1949938160694188,0.0047555548319864254,206,8,0.15731559274525814,1414,3,0.9700662254536594,0.8967510742959364,10000,50
18,558080000.0,COMPLETE,,,0.9185569265982171,0.00555042550228237,558080000.0,1933287.3557751316,0.26595449114455155,0.0017420802694321253,978,10,0.011949018055083875,131,1,0.8173004924760258,0.5791961565665416,10000,50
19,559520000.0,COMPLETE,,,0.9275965741585465,0.00434248532322977,559520000.0,2509501.9426172995,0.19249574531114594,0.004173920489287647,108,3,0.20569713449742935,177,5,0.5507756461968741,0.8420238089789539,10000,50
20,558080000.0,COMPLETE,,,0.9201069457670232,0.006290010442805328,558080000.0,4003198.721022977,0.20397147017221567,0.004531219649391767,606,3,0.02527356462924093,1089,5,0.7897483723182865,0.5903954558732281,10000,50
21,559520000.0,COMPLETE,,,0.9290955843251487,0.005977040428153218,559520000.0,3143501.2327021603,0.19058932782570098,0.005637631911429369,189,9,0.07617721221141137,912,0,0.7205625523365529,0.7840356581442052,10000,50
22,557760000.0,COMPLETE,,,0.9155943519088421,0.005641445775110023,557760000.0,2447529.3665245366,0.21232326583016398,0.003473109553793014,190,3,0.017277007500253076,1793,1,0.7221873781283954,0.6912951999620915,10000,50
23,555040000.0,COMPLETE,,,0.8901468910859818,0.00561924237151137,555040000.0,2696367.927416435,0.31973268222089374,0.00066887016185314,577,10,0.017973938459427883,1802,1,0.9789999422206286,0.7788470871555042,10000,50
24,557920000.0,COMPLETE,,,0.9205924540543216,0.0064385622595375105,557920000.0,4251305.681787655,0.2031362478861832,0.004745489051479943,512,3,0.026651883582032597,1011,0,0.6396955223893832,0.8218005636491021,10000,50
25,557600000.0,COMPLETE,,,0.9231192166569793,0.005828770315182695,557600000.0,3239753.077010654,0.19785680270261788,0.00496014722096131,623,8,0.15376698394610913,1498,5,0.6251066754212491,0.7727678478693769,10000,50
26,558560000.0,COMPLETE,,,0.9248705891530242,0.005189926790416742,558560000.0,2835207.223467096,0.1958283770493487,0.004774464184640847,329,11,0.2722348063824678,318,0,0.7896318581552917,0.9321805377517048,10000,50
27,558240000.0,COMPLETE,,,0.9255743840058905,0.0056121437095377645,558240000.0,3591991.091302984,0.19496055998472267,0.005003499654972,130,11,0.13815470355059625,986,4,0.7099921099999543,0.832914790967626,10000,50
28,555200000.0,COMPLETE,,,0.8987930025770867,0.004862789946938985,555200000.0,1893145.5305918772,0.33411858354467616,0.0002656978724526063,646,7,0.010466803333563094,837,4,0.5671946488494102,0.502341137197837,10000,50
29,557920000.0,COMPLETE,,,0.9246932467772148,0.005994756074664459,557920000.0,4097999.5119570233,0.19633989466847906,0.005171572696617874,67,12,0.0799866191731501,1822,1,0.660696551198554,0.5021541166337871,10000,50
30,559840000.0,COMPLETE,,,0.9291011780016307,0.005296701343728221,559840000.0,2880000.0,0.19139615867834978,0.004607168998686465,1105,5,0.04976314305538801,104,2,0.5751429571197079,0.9972747105416424,10000,50
31,560000000.0,COMPLETE,,,0.9294831081434605,0.004956999097658032,560000000.0,2205447.8003344354,0.19124376289786937,0.004448162447396538,1200,5,0.04582361390389696,114,2,0.5790448551715096,0.9944991846548981,10000,50
32,558080000.0,COMPLETE,,,0.9160926837946054,0.005293544123213387,558080000.0,2976172.038038124,0.229907705755421,0.0023195951420089773,1179,5,0.041588637895261495,339,2,0.5862181744208718,0.9987209131462604,10000,50
33,559680000.0,COMPLETE,,,0.9294025896438978,0.005533730181772659,559680000.0,3906097.797034785,0.19105678176368884,0.004558371501499505,1197,5,0.04633720286403784,242,2,0.5926173154230834,0.9743194052630255,10000,50
34,557760000.0,COMPLETE,,,0.919040342013362,0.006162878795354955,557760000.0,3175909.3186046733,0.20826669271081455,0.003965915690039235,999,4,0.05008128817673404,403,2,0.8882322103063938,0.8966243407653997,10000,50
35,558560000.0,COMPLETE,,,0.9215977747061178,0.00598014397984704,558560000.0,3731809.2127009924,0.2039758157543706,0.0041184012938420425,1096,4,0.02388920925018599,117,3,0.590145210772006,0.706419162487368,10000,50
36,561120000.0,COMPLETE,,,0.9313819139696363,0.005005578133959611,561120000.0,2560000.0,0.18819410619705446,0.004594885593398722,770,6,0.03526223696101729,265,1,0.5042555145850267,0.9977839855670785,10000,50
37,558720000.0,COMPLETE,,,0.9223805279174876,0.004944126215662603,558720000.0,3223910.6687375815,0.20824354121029803,0.002943390964633927,757,6,0.03564993644679197,246,1,0.5000635366998635,0.9988179316055207,10000,50
