trial_number,value,state,best_iter,duration_minutes,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,981440000.0,COMPLETE,,,933,0.04311406605185001,3705,0.9612190155945859,1.0,10000,50
1,981120000.0,COMPLETE,,,833,0.037762939523962695,2885,0.7486750921691405,1.0,10000,50
2,980640000.0,COMPLETE,,,350,0.04381795069610272,3306,0.5078036135279032,1.0,10000,50
3,973760000.0,COMPLETE,,,363,0.0313299444367328,205,0.23017702904272658,1.0,10000,50
4,980000000.0,COMPLETE,,,237,0.014513722147629764,2059,0.6591257712171688,1.0,10000,50
5,980160000.0,COMPLETE,,,340,0.047021717205926676,1907,0.4762746641760833,1.0,10000,50
6,981440000.0,COMPLETE,,,315,0.07054574762167437,1869,0.8239350794150782,1.0,10000,50
7,980640000.0,COMPLETE,,,463,0.01750227666798549,1011,0.3776115760634492,1.0,10000,50
8,981120000.0,COMPLETE,,,290,0.02874642892923523,1044,0.5759768918988628,1.0,10000,50
9,901280000.0,COMPLETE,,,896,0.05821012168660788,4781,0.01692950428774691,1.0,10000,50
10,976480000.0,COMPLETE,,,656,0.07575506321848204,2516,0.03777169306658625,1.0,10000,50
11,980960000.0,COMPLETE,,,321,0.03598395879099378,3852,0.6134809516855265,1.0,10000,50
12,978080000.0,COMPLETE,,,460,0.06534429256818385,123,0.5157751576991657,1.0,10000,50
13,979360000.0,COMPLETE,,,285,0.010776793742695823,2277,0.6205370168078604,1.0,10000,50
14,972640000.0,COMPLETE,,,439,0.021910201214229742,4773,0.05549552774483027,1.0,10000,50
15,981120000.0,COMPLETE,,,389,0.08857463330196946,3851,0.7095932716353462,1.0,10000,50
16,981440000.0,COMPLETE,,,955,0.09835730117389908,935,0.9072817866251616,1.0,10000,50
17,981120000.0,COMPLETE,,,459,0.09526165713142451,2928,0.7765583272042129,1.0,10000,50
18,980800000.0,COMPLETE,,,742,0.09104643048334848,4826,0.32662900601167055,1.0,10000,50
19,980320000.0,COMPLETE,,,89,0.021774350812235242,479,0.9350542604461001,1.0,10000,50
20,972800000.0,COMPLETE,,,255,0.008795884813052207,502,0.5563393551390021,1.0,10000,50
21,981280000.0,COMPLETE,,,533,0.04596786982036885,1333,0.6751477901756969,1.0,10000,50
22,981440000.0,COMPLETE,,,834,0.07544890366868169,4034,0.5627106026005452,1.0,10000,50
23,965120000.0,COMPLETE,,,963,0.029759745642190954,4412,0.20454170193458218,1.0,10000,50
24,975200000.0,COMPLETE,,,674,0.09532760788867084,198,0.22883325513447975,1.0,10000,50
25,981440000.0,COMPLETE,,,744,0.048462174555317754,3081,0.9952620920855646,1.0,10000,50
26,980800000.0,COMPLETE,,,956,0.023577800340305415,3420,0.5487942809461779,1.0,10000,50
27,981120000.0,COMPLETE,,,765,0.017425742774644787,4089,0.7023447634989787,1.0,10000,50
28,980640000.0,COMPLETE,,,351,0.05563319759912458,2408,0.3853046522646158,1.0,10000,50
29,981280000.0,COMPLETE,,,570,0.061150348977350624,1744,0.8767940063333244,1.0,10000,50
30,981440000.0,COMPLETE,,,994,0.07713935700908009,1553,0.8381562647142805,1.0,10000,50
31,981280000.0,COMPLETE,,,995,0.08107278895438053,1557,0.8521261339801027,1.0,10000,50
32,981440000.0,COMPLETE,,,948,0.08049028604978882,1668,0.8677894096224743,1.0,10000,50
33,981280000.0,COMPLETE,,,991,0.08171311178722701,1476,0.8365018432709629,1.0,10000,50
34,981280000.0,COMPLETE,,,972,0.08246679864555424,1590,0.8364108531721128,1.0,10000,50
35,981440000.0,COMPLETE,,,163,0.081922111566261,1097,0.9966675301925206,1.0,10000,50
36,981440000.0,COMPLETE,,,150,0.0995636985938039,1045,0.8424095772813076,1.0,10000,50
37,981600000.0,COMPLETE,,,163,0.0697179971653663,945,0.9912222597818637,1.0,10000,50
38,981440000.0,COMPLETE,,,875,0.06666791819102919,3424,0.9950849323102746,1.0,10000,50
39,981440000.0,COMPLETE,,,855,0.09814121052142238,3558,0.995843877751534,1.0,10000,50
40,981440000.0,COMPLETE,,,843,0.06859821535466365,3423,0.9648307987253196,1.0,10000,50
41,981600000.0,COMPLETE,,,846,0.0697776629670107,3454,0.9999080063758935,1.0,10000,50
42,981280000.0,COMPLETE,,,855,0.06593705245701775,3392,0.7947964974071462,1.0,10000,50
43,981120000.0,COMPLETE,,,860,0.0683478588866707,3500,0.785468689837186,1.0,10000,50
44,981280000.0,COMPLETE,,,830,0.06488836689190555,3403,0.7617026662735944,1.0,10000,50
45,981440000.0,COMPLETE,,,822,0.06644522912853647,4397,0.7549240886020391,1.0,10000,50
46,981280000.0,COMPLETE,,,804,0.07203574700036838,2117,0.7502221939626372,1.0,10000,50
47,981440000.0,COMPLETE,,,806,0.06688830772874246,2608,0.7762404393066504,1.0,10000,50
48,981440000.0,COMPLETE,,,904,0.04088902026307536,2768,0.7613377503072056,1.0,10000,50
49,981440000.0,COMPLETE,,,790,0.03889480369436226,2668,0.9224413447042193,1.0,10000,50
