trial_number,value,state,best_iter,duration_minutes,auc,auc_std,gain,gain_std,logloss,logloss_std,num_leaves,max_depth,learning_rate,min_data_in_leaf,min_gain_to_split,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,1100640000.0,COMPLETE,,,0.996095538751342,0.0005012985344577389,1100640000.0,783836.717690617,0.04285726821727304,0.0022499026863738356,678,11,0.16710845024649432,1896,4,0.6918996510094664,0.9830450582080218,10000,50
1,1101120000.0,COMPLETE,,,0.9962192047658232,0.0004987317293082576,1101120000.0,640000.0,0.04175394183143814,0.002422722224450767,609,4,0.05015072998314935,310,2,0.6497191585003891,0.5836866283514867,10000,50
2,1100960000.0,COMPLETE,,,0.9960348800663772,0.0005343648467293649,1100960000.0,932952.3031752481,0.04280726480723207,0.002531505792704852,898,3,0.06303645960824951,686,2,0.8261841033354207,0.953413265000441,10000,50
3,1100960000.0,COMPLETE,,,0.9959021929238252,0.000526630967131779,1100960000.0,320000.0,0.044048904185069446,0.0024754980946180365,127,4,0.16682586198262803,1707,4,0.9273335204554022,0.9624706423002086,10000,50
4,1097440000.0,COMPLETE,,,0.9939648153691312,0.000680949970977272,1097440000.0,1631686.244349691,0.3083538749552058,0.0002649253890816139,658,7,0.015139614744090618,668,4,0.7372772915517838,0.8666313794985749,10000,50
5,1100320000.0,COMPLETE,,,0.9960776574940983,0.0005487264465773427,1100320000.0,1647300.8225579201,0.04255195652811676,0.0024247135984986046,813,12,0.13568832748576498,1640,3,0.5325317201918986,0.6470641996253903,10000,50
6,1098880000.0,COMPLETE,,,0.9943715010079798,0.0009567952696958753,1098880000.0,1085172.7973000428,0.14806737693803024,0.0018403862718459102,895,6,0.036496447807017406,770,3,0.9228204871458121,0.8379788162338468,10000,50
7,1100800000.0,COMPLETE,,,0.9962649792145003,0.00048258413042005083,1100800000.0,1011928.8512538814,0.041315847307735444,0.002381937463200894,640,7,0.06857298209875089,610,3,0.7294325940390014,0.6153070239331573,10000,50
8,1097600000.0,COMPLETE,,,0.994849991388404,0.0008008841385949727,1097600000.0,1431083.5055998655,0.08896522727135274,0.0021145691055237956,276,12,0.011466533610327087,1263,4,0.9383744076812879,0.9190632962118757,10000,50
9,1100640000.0,COMPLETE,,,0.996229945179565,0.00043908207201884405,1100640000.0,932952.3031752481,0.04144266168696758,0.0021881171018131654,179,12,0.09126718214729405,527,5,0.6208498352313809,0.5844356915140143,10000,50
10,1100960000.0,COMPLETE,,,0.9962126650010934,0.00048172890378640054,1100960000.0,783836.717690617,0.041687307499248843,0.002393350441672545,662,8,0.10465088584618869,1457,2,0.8536931044089793,0.6476450212216447,10000,50
11,1098880000.0,COMPLETE,,,0.9950127978680019,0.0007788455062931039,1098880000.0,1197330.3637676612,0.0606406955086715,0.002596377154922174,18,3,0.013285495080355049,558,0,0.6416467531896882,0.6332914204170585,10000,50
12,1101280000.0,COMPLETE,,,0.9960599275914082,0.0005089035584845115,1101280000.0,391918.3588453085,0.042937599011077826,0.002459819944266605,897,5,0.23309776162919724,1519,2,0.6961697662306001,0.9466454342385522,10000,50
13,1097600000.0,COMPLETE,,,0.9944883918103962,0.0006661982925401169,1097600000.0,1824280.6801586207,0.3052368744197512,0.00034411397843097627,247,10,0.03170555638783676,432,1,0.6909421311346057,0.5850979924843762,10000,50
14,1100160000.0,COMPLETE,,,0.9961229593019244,0.0005105101925258657,1100160000.0,1781684.596105607,0.0424993299173867,0.0023115570560960563,301,6,0.056821605758264275,1465,0,0.6485900849234412,0.8455802388323916,10000,50
15,1100960000.0,COMPLETE,,,0.9961800606674371,0.0005214798802216957,1100960000.0,783836.717690617,0.043254238042121106,0.0024077993469086524,735,7,0.042019592972960915,279,0,0.8472946181739316,0.9784617118119897,10000,50
16,1094400000.0,COMPLETE,,,0.9896064891213504,0.0010403903391157166,1094400000.0,2906544.339933592,0.28637231295483173,0.0004165725258824777,403,10,0.016266475244208368,1273,4,0.5187726912941,0.8339920705937933,10000,50
17,1101280000.0,COMPLETE,,,0.9960341714235753,0.0004977174380470314,1101280000.0,640000.0,0.043584782040675285,0.002441600326486497,206,8,0.15731559274525814,1414,3,0.9700662254536594,0.8967510742959364,10000,50
18,1098560000.0,COMPLETE,,,0.9951572124894161,0.0006034728607359529,1098560000.0,2110544.953323667,0.3123436601800668,0.00021349539241483412,978,10,0.011949018055083875,131,1,0.8173004924760258,0.5791961565665416,10000,50
19,1100800000.0,COMPLETE,,,0.9961538082138285,0.0005048680034553367,1100800000.0,715541.7527999327,0.0419461125462695,0.0024233313455393844,108,3,0.20569713449742935,177,5,0.5507756461968741,0.8420238089789539,10000,50
20,1099840000.0,COMPLETE,,,0.9953244660823184,0.0006999767369856849,1099840000.0,598665.1818838306,0.053117396516072245,0.0025659264327434037,606,3,0.02527356462924093,1089,5,0.7897483723182865,0.5903954558732281,10000,50
21,1099360000.0,COMPLETE,,,0.9934754759664214,0.0008089262588166984,1099360000.0,1376372.0427268203,0.2703664827269824,0.0007509553349650498,189,9,0.07617721221141137,912,0,0.7205625523365529,0.7840356581442052,10000,50
22,1100000000.0,COMPLETE,,,0.9956308316040634,0.0006202023159307631,1100000000.0,505964.4256269407,0.04829547892476468,0.0025085656927790077,190,3,0.017277007500253076,1793,1,0.7221873781283954,0.6912951999620915,10000,50
23,1101120000.0,COMPLETE,,,0.9960599288722687,0.0004877856913772283,1101120000.0,640000.0,0.04349922752822535,0.0023310575189307648,577,10,0.017973938459427883,1802,1,0.9789999422206286,0.7788470871555042,10000,50
24,1095680000.0,COMPLETE,,,0.9881342114220372,0.001545015410539879,1095680000.0,2609521.0288480143,0.21797608392870763,0.0012421548170659107,512,3,0.026651883582032597,1011,0,0.6396955223893832,0.8218005636491021,10000,50
25,1100480000.0,COMPLETE,,,0.9960884825646584,0.00047595654566166026,1100480000.0,1085172.7973000428,0.04273629339072875,0.0022924097336345225,623,8,0.15376698394610913,1498,5,0.6251066754212491,0.7727678478693769,10000,50
26,1100640000.0,COMPLETE,,,0.9960835893206728,0.0004990612254835882,1100640000.0,1280000.0,0.04197559649158779,0.0025594298475984886,329,11,0.2722348063824678,318,0,0.7896318581552917,0.9321805377517048,10000,50
